C_supercap_mF,governor,seed,crashed,mean_queue_backlog,total_tasks,active_steps
5,Proposed PPO RL,328,True,5.657703124999999,255.0,64
5,Proposed PPO RL,329,True,5.123892307692308,280.0,65
10,Always-Max,300,True,4.306693548387097,257.0,62
10,Always-Max,301,True,4.161532258064516,253.0,62
10,Always-Max,302,True,4.246229508196721,249.0,61
10,Always-Max,303,True,4.35508064516129,267.0,62
10,Always-Max,304,True,3.7706557377049177,225.0,61
10,Always-Max,305,True,4.688770491803279,283.0,61
10,Always-Max,306,True,4.597016129032258,279.0,62
10,Always-Max,307,True,4.049426229508197,245.0,61
10,Always-Max,308,True,4.226129032258064,254.0,62
10,Always-Max,309,True,4.500322580645161,269.0,62
10,Always-Max,310,True,4.869098360655737,291.0,61
10,Always-Max,311,True,4.70991935483871,284.0,62
10,Always-Max,312,True,3.984032258064516,246.0,62
10,Always-Max,313,True,4.758306451612903,286.0,62
10,Always-Max,314,True,4.42655737704918,263.0,61
10,Always-Max,315,True,4.770901639344262,283.0,61
10,Always-Max,316,True,4.887499999999999,288.0,62
10,Always-Max,317,True,4.516370967741936,276.0,62
10,Always-Max,318,True,4.41016393442623,257.0,61
10,Always-Max,319,True,4.672377049180327,278.0,61
10,Always-Max,320,True,4.590409836065573,274.0,61
10,Always-Max,321,True,4.524918032786885,261.0,61
10,Always-Max,322,True,4.726048387096774,284.0,62
10,Always-Max,323,True,4.3445081967213115,252.0,61
10,Always-Max,324,True,4.35516129032258,257.0,62
10,Always-Max,325,True,4.564758064516129,277.0,62
10,Always-Max,326,True,4.742177419354839,281.0,62
10,Always-Max,327,True,4.951935483870967,289.0,62
10,Always-Max,328,True,4.177822580645161,244.0,62
10,Always-Max,329,True,4.435725806451613,262.0,62
10,Powersave,300,False,160.92666666666668,150.0,150
10,Powersave,301,False,164.11333333333334,150.0,150
10,Powersave,302,False,163.0,150.0,150
10,Powersave,303,False,165.06,150.0,150
10,Powersave,304,False,153.57333333333332,150.0,150
10,Powersave,305,False,168.76,150.0,150
10,Powersave,306,False,165.57333333333332,150.0,150
10,Powersave,307,False,163.76,150.0,150
10,Powersave,308,False,161.41333333333333,150.0,150
10,Powersave,309,False,169.14666666666668,150.0,150
10,Powersave,310,False,169.86,150.0,150
10,Powersave,311,False,172.64666666666668,150.0,150
10,Powersave,312,False,160.0,150.0,150
10,Powersave,313,False,170.04666666666665,150.0,150
10,Powersave,314,False,162.61333333333334,150.0,150
10,Powersave,315,False,170.86666666666667,150.0,150
10,Powersave,316,False,170.51333333333332,150.0,150
10,Powersave,317,False,169.74666666666667,150.0,150
10,Powersave,318,False,165.38,150.0,150
10,Powersave,319,False,165.92666666666668,150.0,150
10,Powersave,320,False,168.09333333333333,150.0,150
10,Powersave,321,False,166.86666666666667,150.0,150
10,Powersave,322,False,170.16,150.0,150
10,Powersave,323,False,162.96666666666667,150.0,150
10,Powersave,324,False,169.16,150.0,150
10,Powersave,325,False,168.16666666666666,150.0,150
10,Powersave,326,False,167.37333333333333,150.0,150
10,Powersave,327,False,171.66,150.0,150
10,Powersave,328,False,162.81333333333333,150.0,150
